Title,Author,Series
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
Practice Makes Perfect,Sarah Adams,
The Cheat Sheet,Sarah Adams,
The Match,Sarah Adams,
When in Rome,Sarah Adams,
Engagement Season,Kathryn Nolan,
Instant Karma,Marissa Meyer,
The Roughest Draft,Emily Wibberley,
If the Shoe Fits,Julie Murphy,
The Layover,Lacie Waldon,
Love and Other Words,Christina Lauren,
Autoboyography,Christina Lauren,
Sublime,Christina Lauren,
Love and Luck,Jenna Evans Welch,
Love Gelato,Jenna Evans Welch,
Love Hypothesis,Ali Hazelwood,
Not Here to Be Liked,Michelle Quach,
Highly Suspicious and Unfairly Cute,Talia Hibbert,
The Princess Trap,Talia Hibbert,
The Summer of Broken Rules,K.L. Walther,
Tweet Cute,Emma Lord,
The Unhoneymooners,Christina Lauren,
Well Met,Jen DeLuca,
Well Played,Jen DeLuca,
Well Matched,Jen DeLuca,
The Bromance Book Club,Lyssa Kay Adams,
Undercover Bromance,Lyssa Kay Adams,
Crazy Stupid Bromance,Lyssa Kay Adams,
The Ex Hex,Erin Sterling,
The Kiss Curse,Erin Sterling,
The Wedding Witch,Erin Sterling,
